sequence,level,structured_csv_level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,class_term,id,semantic_path,label_local,definition_local,structured_csv_column,element,xpath,binding_scope,value_name,value_role,value_source,default_value,unit_ref_rule,decimals
0,0,,D,,contextRef,Identifier,1..1,,Default XBRL context reference.,xbrl-gl,Document,DOC-CONTEXT,,,Default XBRL context reference. May be overridden at runtime.,,,,document,contextRef,context,runtime_parameter,now,none,
0,0,,D,,xbrlRoot,,1..1,,XBRL instance document root.,xbrl-gl,Document,DOC-ROOT,,,XBRL instance root element.,,xbrli:xbrl,/xbrli:xbrl,document,xbrlRoot,document_root,xbrl_instance,,none,
1,0,0,C,,Invoice,,1..1,,EN 16931 invoice semantic root.,en16931,Invoice,BG-ROOT,$.invoice,Invoice,Semantic parent group for ADS XBRL GL binding.,Invoice,gl-cor:accountingEntries,/xbrli:xbrl/gl-cor:accountingEntries,container,Invoice,semantic_group,structured_csv_group,,none,
51,1,1,C,,Buyer,,1..1,,A group of business terms providing information about the Buyer.,en16931,Buyer,BG-7,$.invoice.buyer,Buyer,Semantic parent group for Customer Master binding.,Buyer,"gl-cor:identifierReference[gl-cor:identifierType=""C""]","/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:identifierReference[gl-cor:identifierType=""C""]",container,Customer,semantic_group,structured_csv_group,,none,
52,2,1,A,,Buyer Name,Text,1..1,,The full name of the Buyer.,en16931,Buyer,BT-44,$.invoice.buyer.buyerName,Customer_Name,Customer name from invoice Buyer.,BuyerName,gl-cor:identifierDescription,"/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:identifierReference[gl-cor:identifierType=""C""]/gl-cor:identifierDescription",fact,Customer_Name,xbrl_fact,structured_csv_column,,none,
54,2,1,A,,Buyer Identifier,Identifier,0..*,,An identifier of the Buyer.,en16931,Buyer,BT-46,$.invoice.buyer.buyerIdentifier,Customer_Account_ID,Customer account identifier from invoice Buyer.,BuyerIdentifier,gl-cor:identifierCode,"/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:identifierReference[gl-cor:identifierType=""C""]/gl-cor:identifierCode",fact,Customer_Account_ID,xbrl_fact,structured_csv_column,,none,
