"sequence","level","type","identifier","name","datatype","multiplicity","domain_name","definition","module","class_term","id","path","semantic_path","abbreviation_path","label_local","definition_local","element","xpath","binding_scope","value_name","value_role","value_source","default_value","unit_ref_rule","decimals"
"0","0","D","","contextRef","Identifier","1..1","","Default XBRL context reference.","xbrl-gl","Document","DOC-CONTEXT","/DOC-CONTEXT","","","","Default XBRL context reference. May be overridden at runtime.","","","document","contextRef","context","runtime_parameter","now","none",""
"0","0","D","","xbrlRoot","","1..1","","XBRL instance document root.","xbrl-gl","Document","DOC-ROOT","/DOC-ROOT","","","","XBRL instance root element.","xbrli:xbrl","/xbrli:xbrl","document","xbrlRoot","document_root","xbrl_instance","","none",""
"1","0","C","","Invoice","","1..1","","EN 16931 invoice semantic root.","en16931","Invoice","BG-ROOT","/BG-ROOT","$.invoice","invoice","Invoice","Semantic parent group for ADS XBRL GL binding.","gl-cor:accountingEntries","/xbrli:xbrl/gl-cor:accountingEntries","container","Invoice","semantic_group","structured_csv_group","","none",""
"30","1","C","","Seller","","1..1","","A group of business terms providing information about the Seller.","en16931","Seller","BG-4","/BG-ROOT/BG-4","$.invoice.seller","invoice.seller","Seller","Semantic parent group for Supplier Listing binding.","gl-cor:identifierReference[gl-cor:identifierType=""V""]","/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:identifierReference[gl-cor:identifierType=""V""]","container","Supplier","semantic_group","structured_csv_group","","none",""
"31","2","A","","Seller Name","Text","1..1","","The full formal name of the Seller.","en16931","Seller","BT-27","/BG-ROOT/BG-4/BT-27","$.invoice.seller.sellerName","invoice.seller.sellerName","Supplier_Name","Supplier name from invoice Seller.","gl-cor:identifierDescription","/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:identifierReference[gl-cor:identifierType=""V""]/gl-cor:identifierDescription","fact","Supplier_Name","xbrl_fact","structured_csv_column","","none",""
"33","2","A","","Seller Identifier","Identifier","0..*","","An identifier of the Seller.","en16931","Seller","BT-29","/BG-ROOT/BG-4/BT-29","$.invoice.seller.sellerIdentifier","invoice.seller.sellerIdentifier","Supplier_Account_ID","Supplier account identifier from invoice Seller.","gl-cor:identifierCode","/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:identifierReference[gl-cor:identifierType=""V""]/gl-cor:identifierCode","fact","Supplier_Account_ID","xbrl_fact","structured_csv_column","","none",""
