sequence,syntax_sequence,level,structured_csv_level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,class_term,id,semantic_path,label_local,definition_local,structured_csv_column,element,xpath,default_value,transformation,required,note
200,0000.0003.0001.0005.0002.0002,4,4,A,,Invoiced item VAT category code,Code,1..1,,"Project-defined Invoiced item VAT category code in the Line VAT information context, represented as Code.",en16931,Line VAT information,BT-151,$.invoice.invoiceLine.lineVatInformation.invoicedItemVatCategoryCode,,,InvoicedItemVatCategoryCode,ram:CategoryCode,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:ApplicableTradeTax[ram:TypeCode='VAT']/ram:CategoryCode,,,true,
201,0000.0003.0001.0005.0002.0003,4,4,A,,Invoiced item VAT rate,Decimal,0..1,,"Project-defined Invoiced item VAT rate in the Line VAT information context, represented as Decimal.",en16931,Line VAT information,BT-152,$.invoice.invoiceLine.lineVatInformation.invoicedItemVatRate,,,InvoicedItemVatRate,ram:RateApplicablePercent,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:ApplicableTradeTax[ram:TypeCode='VAT']/ram:RateApplicablePercent,,,false,
202,0000.0003.0001.0002,3,3,C,,Item information,,1..1,,"Project-defined Item information in the Item information context, represented as structured information.",en16931,Item information,BG-31,$.invoice.invoiceLine.itemInformation,,,ItemInformation,ram:SpecifiedTradeProduct,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct,,,true,
203,0000.0003.0001.0002.0004,4,4,A,,Item name,Text,1..1,,"Project-defined Item name in the Item information context, represented as Text.",en16931,Item information,BT-153,$.invoice.invoiceLine.itemInformation.itemName,,,ItemName,ram:Name,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:Name,,,true,
204,0000.0003.0001.0002.0005,4,4,A,,Item description,Text,0..1,,"Project-defined Item description in the Item information context, represented as Text.",en16931,Item information,BT-154,$.invoice.invoiceLine.itemInformation.itemDescription,,,ItemDescription,ram:Description,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:Description,,,false,
205,0000.0003.0001.0002.0002,4,4,A,,Item seller identifier,Identifier,0..1,,"Project-defined Item seller identifier in the Item information context, represented as Identifier.",en16931,Item information,BT-155,$.invoice.invoiceLine.itemInformation.itemSellerIdentifier,,,ItemSellerIdentifier,ram:SellerAssignedID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:SellerAssignedID,,,false,
206,0000.0003.0001.0002.0003,4,4,A,,Item buyer identifier,Identifier,0..1,,"Project-defined Item buyer identifier in the Item information context, represented as Identifier.",en16931,Item information,BT-156,$.invoice.invoiceLine.itemInformation.itemBuyerIdentifier,,,ItemBuyerIdentifier,ram:BuyerAssignedID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:BuyerAssignedID,,,false,
207,0000.0003.0001.0002.0001,4,4,A,,Item standard identifier,Identifier,0..1,,"Project-defined Item standard identifier in the Item information context, represented as Identifier.",en16931,Item information,BT-157,$.invoice.invoiceLine.itemInformation.itemStandardIdentifier,,,ItemStandardIdentifier,ram:GlobalID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:GlobalID,,,false,
208,0000.0003.0001.0002.0001@schemeID,4,4,A,,Scheme identifier,Identifier,1..1,,"Project-defined Scheme identifier in the Item information context, represented as Identifier.",en16931,Item information,BT-157-1,$.invoice.invoiceLine.itemInformation.itemStandardIdentifierSchemeIdentifier,,,SchemeIdentifier,@schemeID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:GlobalID/@schemeID,,,true,
209,0000.0003.0001.0002.0007,4,4,C,,Item Classification Identifier,,0..*,,"Project-defined Item Classification Identifier in the Item Classification Identifier context, represented as structured information.",en16931,Item Classification Identifier,,$.invoice.invoiceLine.itemInformation.itemClassificationIdentifier,,,ItemClassificationIdentifier,ram:DesignatedProductClassification,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:DesignatedProductClassification,,,false,
